caller_name,caller_fullName,caller_file,call_line,callee,call_file,callee_kind,resolved_defs
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3530,/home/zwz/FreeRTOS/FreeRTOS/Source/include/task.h:taskEXIT_CRITICAL_FROM_ISR:ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,macro,
xTaskResumeFromISR,xTaskResumeFromISR,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3530,vPortSetBASEPRI,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,function,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3542,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3542,/home/zwz/FreeRTOS/FreeRTOS/Source/include/projdefs.h:pdPASS:ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,macro,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3542,<operator>.cast,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3544,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3544,<operator>.alloc,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3544,/home/zwz/FreeRTOS/FreeRTOS/Source/include/FreeRTOSConfig.h:configMAX_TASK_NAME_LEN:ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,macro,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3544,<operator>.assignment,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
prvCreateIdleTasks,prvCreateIdleTasks,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,3544,<operator>.arrayInitializer,/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,operator,
