function_name,signature,source_file,full_name,index
portBYTE_ALIGNMENT_MASK,unsigned int(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portFIRST_USER_INTERRUPT_NUMBER:ANY(0),575
portNVIC_PENDSV_PRI,unsigned int(0),/home/zwz/FreeRTOS/FreeRTOS/Source/queue.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/portmacro.h:portASSERT_IF_INTERRUPT_PRIORITY_INVALID:ANY(0),577
portINITIAL_CONTROL_IF_UNPRIVILEGED,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c:heapALLOCATE_BLOCK:ANY(1),579
portYIELD_WITHIN_API,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/timers.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/timers.h:tmrCOMMAND_RESET_FROM_ISR:ANY(0),584
portMAX_8_BIT_VALUE,int(0),/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c,/home/zwz/FreeRTOS/FreeRTOS/Source/stream_buffer.c:prvRECEIVE_COMPLETED_FROM_ISR:ANY(2),585
portPERIPHERALS_END_ADDRESS,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/list.h:listGET_HEAD_ENTRY:ANY(1),587
portMPU_REGION_ENABLE,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portPSR_STACK_PADDING_MASK:ANY(0),588
portPRIVILEGE_BIT,ANY(1),main.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/task.h:taskENTER_CRITICAL:ANY(0),589
portSETUP_TCB,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/tasks.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/portable.h:vPortFreeStack:ANY(0),590
portTOTAL_NUM_REGIONS_IN_TCB,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/event_groups.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/projdefs.h:pdTRUE:ANY(0),591
portNVIC_SYSTICK_LOAD_REG,ANY(1),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/MemMang/heap_4.c,/home/zwz/FreeRTOS/FreeRTOS/Source/include/portable.h:portBYTE_ALIGNMENT_MASK:ANY(0),593
portBYTE_ALIGNMENT_MASK,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portINITIAL_CONTROL_IF_UNPRIVILEGED:ANY(0),597
portMPU_CTRL_REG,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/Common/mpu_wrappers_v2.c:MPU_StoreTaskHandleAtIndex:ANY(2),601
portMPU_REGION_READ_ONLY,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portMAX_8_BIT_VALUE:ANY(0),603
portMPU_REGION_PRIVILEGED_READ_WRITE_UNPRIV_READ_ONLY,ANY(0),/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c,/home/zwz/FreeRTOS/FreeRTOS/Source/portable/GCC/ARM_CM3_MPU/port.c:portMPU_REGION_ENABLE:ANY(0),606
